column,missing_fraction,drop_for_ml_ready,drop_for_cluster_optional
URDNO3LC_nitrate_urine_comment_code,0.6983998924297432,False,False
URXNO3_nitrate_urine_ng_ml,0.6983998924297432,False,False
URDSCNLC_thiocyanate_urine_comment_code,0.6982654296087132,False,False
URDUP8LC_perchlorate_urine_comment_code,0.6982654296087132,False,False
URXSCN_thiocyanate_urine_ng_ml,0.6982654296087132,False,False
URXUP8_perchlorate_urine_ng_ml,0.6982654296087132,False,False
URDUCMLC_chromium_urine_comment_code,0.6970552642194433,False,False
URDUHGLC_mercury_urine_comment_code,0.6970552642194433,False,False
URDUIOLC_iodine_urine_comment_code,0.6970552642194433,False,False
URDUNILC_nickel_urine_comment_code,0.6970552642194433,False,False
URXUCM_chromium_urine_ug_l,0.6970552642194433,False,False
URXUHG_urine_mercury_ug_l,0.6970552642194433,False,False
URXUIO_iodine_urine_ug_l,0.6970552642194433,False,False
URXUNI_nickel_urine_ug_l,0.6970552642194433,False,False
URDUASLC_arsenic_total_urine_comment_code,0.6969208013984134,False,False
URXUAS_arsenic_total_urine_ug_l,0.6969208013984134,False,False
URDUBALC_urinary_barium_comment_code,0.6965174129353234,False,False
URDUCDLC_urinary_cadmium_comment_code,0.6965174129353234,False,False
URDUCOLC_urinary_cobalt_comment_code,0.6965174129353234,False,False
URDUCSLC_urinary_cesium_comment_code,0.6965174129353234,False,False
URDUMNLC_urinary_mn_comment_code,0.6965174129353234,False,False
URDUPBLC_urinary_lead_comment_code,0.6965174129353234,False,False
URDUSBLC_urinary_antimony_comment_code,0.6965174129353234,False,False
URDUSNLC_usn_comment_code,0.6965174129353234,False,False
URDUTLLC_urinary_thallium_comment_code,0.6965174129353234,False,False
URDUTULC_urinary_tungsten_comment_code,0.6965174129353234,False,False
URXUBA_barium_urine_ug_l,0.6965174129353234,False,False
URXUCD_cadmium_urine_ug_l,0.6965174129353234,False,False
URXUCO_cobalt_urine_ug_l,0.6965174129353234,False,False
URXUCS_cesium_urine_ug_l,0.6965174129353234,False,False
URXUMN_manganese_urine_ug_l,0.6965174129353234,False,False
URXUMO_molybdenum_urine_ug_l,0.6965174129353234,False,False
URXUPB_lead_urine_ug_l,0.6965174129353234,False,False
URXUSB_antimony_urine_ug_l,0.6965174129353234,False,False
URXUSN_tin_urine_ug_l,0.6965174129353234,False,False
URXUTL_thallium_urine_ug_l,0.6965174129353234,False,False
URXUTU_tungsten_urine_ug_l,0.6965174129353234,False,False
URDUA3LC_urinary_arsenous_acid_comment_code,0.6963829501142934,False,False
URDUA5LC_urinary_arsenic_acid_comment_code,0.6963829501142934,False,False
URDUABLC_urinary_arsenobetaine_comment_code,0.6963829501142934,False,False
URDUACLC_urinary_arsenocholine_comment_code,0.6963829501142934,False,False
URDUDALC_urinary_dimethylarsinic_acid_comment,0.6963829501142934,False,False
URDUMMAL_urinary_monomethylarsonic_acid_comment,0.6963829501142934,False,False
URXUAB_urinary_arsenobetaine_ug_l,0.6963829501142934,False,False
URXUAC_urinary_arsenocholine_ug_l,0.6963829501142934,False,False
URXUAS3_urinary_arsenous_acid_ug_l,0.6963829501142934,False,False
URXUAS5_urinary_arsenic_acid_ug_l,0.6963829501142934,False,False
URXUDMA_urinary_dimethylarsinic_acid_ug_l,0.6963829501142934,False,False
URXUMMA_urinary_monomethylarsonic_acid_ug_l,0.6963829501142934,False,False
alq270___#_times_4_5_drinks_in_2hrs/past_12_mos,0.6931558424095737,False,False
alq280___#_times_8+_drinks_in_1_day/past_12_mos,0.6931558424095737,False,False
WTSSAGPP_surplus_specimen_agp_weights_prepandemic,0.6923490654833938,False,False
whd080m___drank_a_lot_of_water,0.6920801398413339,False,False
URDOP3LC_dimethylthiophosphate_comment_code,0.6918112141992739,False,False
URXOP3_dimethylthiophosphate_ng_ml,0.6918112141992739,False,False
URDBDCLC_bis_1_3_dichloro_2_propyl_phosph_comt,0.691273362915154,False,False
URXBDCP_bis_1_3_dichloro_2_propyl_phosphate,0.691273362915154,False,False
URDOP2LC_diethylphosphate_comment_code,0.6911389000941239,False,False
URDOP4LC_diethylthiophosphate_comment_code,0.6911389000941239,False,False
URXOP2_diethylphosphate_ng_ml,0.6911389000941239,False,False
URXOP4_diethylthiophosphate_ng_ml,0.6911389000941239,False,False
URDDUPLC_dibutyl_phosphate_comment_code,0.690869974452064,False,False
URXDBUP_dibutyl_phosphate,0.690869974452064,False,False
URDOP1LC_dimethylphosphate_comment_code,0.690735511631034,False,False
URXOP1_dimethylphosphate_ng_ml,0.690735511631034,False,False
URDBCPLC_bis_1_chloro_2_propyl_phosphate_comt,0.6906010488100041,False,False
URXBCPP_bis_1_chloro_2_propyl_phosphate,0.6906010488100041,False,False
URDCEPLC_bis_2_chloroethyl_phosphate_comt_code,0.690466585988974,False,False
URDOP6LC_diethyldithiophosphate_comment_code,0.690466585988974,False,False
URXBCEP_bis_2_chloroethyl_phosphate,0.690466585988974,False,False
URXOP6_diethyldithiophosphate_ng_ml,0.690466585988974,False,False
URDBBALC_2_3_4_5_tetrabromobenzoic_acid_comt_code,0.690332123167944,False,False
URDDPHLC_diphenyl_phosphate_comment_code,0.690332123167944,False,False
URDOP5LC_dimethyldithiophosphate_comment_code,0.690332123167944,False,False
URXDPHP_diphenyl_phosphate,0.690332123167944,False,False
URXOP5_dimethyldithiophosphate_ng_ml,0.690332123167944,False,False
URXTBBA_2_3_4_5_tetrabromobenzoic_acid,0.690332123167944,False,False
WTSAPRP_subsample_a_weights_pre_pandemic,0.6893908834207342,False,False
WTSSAPP_surplus_specimen_a_weights_pre_pandemic,0.6893908834207342,False,False
WTVOC2PP_uvoc2_subsample_weights_pre_pandemic,0.6893908834207342,False,False
WTSBAPRP_subsample_ba_weights_pre_pandemic,0.6868360898211644,False,False
WTSBPRP_subsample_b_weights_pre_pandemic,0.681860965443055,False,False
WTSSBPP_surplus_specimen_b_weights_pre_pandemic,0.681860965443055,False,False
medication_2,0.6776926179911255,False,False
rhq172___any_babies_weigh_9_lbs_or_more?,0.6759446013177356,False,False
rhq171___how_many_deliveries_live_birth_result?,0.6750033615705258,False,False
whd080d___exercised_to_lose_weight,0.6745999731074358,False,False
rhq160___how_many_times_have_been_pregnant?,0.6557751781632378,False,False
rhd167___total_number_of_deliveries,0.654565012773968,False,False
"rhq162___during_pregnancy,_told_you_have_diabetes",0.6537582358477881,False,False
whd130___self_reported_height___age_25_(inches),0.6350679037246202,False,False
smd030___age_started_smoking_cigarettes_regularly,0.6257899690735511,False,False
smq040___do_you_now_smoke_cigarettes?,0.6257899690735511,False,False
rhq078___ever_treated_for_a_pelvic_infection/pid?,0.6217560844426516,False,False
rhq074___tried_for_a_year_to_become_pregnant?,0.6193357536641119,False,False
rhq076___seen_a_dr_b/c_unable_to_become_pregnant?,0.6190668280220519,False,False
LBDAMHLC_anti_mullerian_hormone_comment_code,0.6010488100040339,False,False
LBDAMHSI_anti_mullerian_hormone_pmol_l,0.6010488100040339,False,False
LBXAMH_anti_mullerian_hormone_ng_ml,0.6010488100040339,False,False
LBDV06LC_blood_hexane_comment_code,0.5986284792254941,False,False
LBXV06_blood_hexane_ng_ml,0.5986284792254941,False,False
LBDVECLC_blood_chloroethane_comment_code,0.5954013715207745,False,False
LBXVEC_blood_chloroethane_ng_ml,0.5954013715207745,False,False
LBDV4CLC_blood_tetrachloroethene_comment_code,0.5951324458787145,False,False
LBXV4C_blood_tetrachloroethene_ng_ml,0.5951324458787145,False,False
LBDVEELC_blood_diethyl_ether_comment_code,0.5944601317735646,False,False
LBXVDEE_blood_diethyl_ether_ng_ml,0.5944601317735646,False,False
LBDVMELC_blood_mtbe_comment_code,0.591501949710905,False,False
LBXVME_blood_mtbe_ng_ml,0.591501949710905,False,False
LBDVMPLC_blood_methylcyclopentane_comment_code,0.5888126932903053,False,False
LBXVMCP_blood_methylcyclopentane_ng_ml,0.5888126932903053,False,False
LBDVIBLC_blood_isobutyronitrile_comment_code,0.5882748420061853,False,False
LBXVIBN_blood_isobutyronitrile_ng_ml,0.5882748420061853,False,False
LBDVIPLC_blood_isopropylbenzene_comment_code,0.5877369907220653,False,False
LBDVTELC_blood_1_1_1_trichloroethane_comment_code,0.5877369907220653,False,False
LBXVIPB_blood_isopropylbenzene_ng_ml,0.5877369907220653,False,False
LBXVTE_blood_1_1_1_trichloroethane_ng_ml,0.5877369907220653,False,False
LBDVHTLC_blood_tetrahydrofuran_comment_code,0.5873336022589754,False,False
LBXVTHF_blood_tetrahydrofuran_ng_ml,0.5873336022589754,False,False
LBDVEALC_blood_ethyl_acetate_comment_code,0.5865268253327954,False,False
LBXVEA_blood_ethyl_acetate_ng_ml,0.5865268253327954,False,False
LBDVBFLC_blood_bromoform_comment_code,0.5858545112276455,False,False
LBXVBF_blood_bromoform_ng_ml,0.5858545112276455,False,False
LBDVMCLC_blood_methylene_chloride_comment_code,0.5847788086594057,False,False
LBXVMC_blood_methylene_chloride_ng_ml,0.5847788086594057,False,False
LBDVBZLC_blood_benzene_comment_code,0.5846443458383757,False,False
LBDVCTLC_blood_carbon_tetrachloride_comment_code,0.5846443458383757,False,False
LBXVBZ_blood_benzene_ng_ml,0.5846443458383757,False,False
LBXVCT_blood_carbon_tetrachloride_ng_ml,0.5846443458383757,False,False
LBDVC6LC_blood_cyclohexane_comment_code,0.5843754201963157,False,False
LBDVDBLC_blood_1_4_dichlorobenzene_comment_code,0.5843754201963157,False,False
LBXVC6_blood_cyclohexane_ng_ml,0.5843754201963157,False,False
LBXVDB_blood_1_4_dichlorobenzene_ng_ml,0.5843754201963157,False,False
LBDV1DLC_blood_1_2_dichlorobenzene_comment_code,0.5841064945542558,False,False
