SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
117637,2.0,36.0,3.0,3.0,2.0,3.0,3.0,1.0,2.24,36236.17416,35840.75897,1.0,152.0,Female,Non-Hispanic White,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117644,2.0,30.0,4.0,4.0,2.0,3.0,3.0,1.0,1.44,10212.866141,9462.006379,2.0,156.0,Female,Non-Hispanic Black,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
117646,2.0,27.0,1.0,1.0,2.0,3.0,1.0,1.0,1.71,39204.011815,35851.328573,1.0,155.0,Female,Mexican American,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117647,2.0,32.0,2.0,2.0,2.0,4.0,1.0,2.0,2.65,11362.924687,11036.000197,2.0,164.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117648,2.0,43.0,4.0,4.0,2.0,4.0,1.0,1.0,1.04,7516.052136,7413.259546,2.0,170.0,Female,Non-Hispanic Black,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117662,2.0,38.0,4.0,4.0,2.0,4.0,2.0,1.0,1.14,8441.719475,8005.239145,2.0,163.0,Female,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117676,2.0,45.0,3.0,3.0,,3.0,3.0,1.0,3.84,17220.605784,16454.089379,2.0,156.0,Female,Non-Hispanic White,High school / GED,Never married,,Born in 50 US states or DC
117677,2.0,38.0,4.0,4.0,2.0,5.0,1.0,1.0,5.0,16855.325759,15909.186088,2.0,172.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117685,2.0,40.0,4.0,4.0,2.0,5.0,1.0,1.0,5.0,18587.428127,16712.307347,2.0,153.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117687,2.0,45.0,6.0,5.0,,5.0,1.0,2.0,4.69,21065.319975,18309.315481,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
117690,2.0,39.0,3.0,3.0,2.0,4.0,2.0,1.0,1.28,25035.754891,24693.288877,1.0,156.0,Female,Non-Hispanic White,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117707,2.0,38.0,2.0,2.0,2.0,4.0,1.0,1.0,3.42,39514.110114,36385.848897,2.0,165.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117722,2.0,29.0,4.0,4.0,3.0,3.0,1.0,2.0,1.2,5.397605346934028e-79,12346.035166,2.0,168.0,Female,Non-Hispanic Black,High school / GED,Married / Living with partner,Cannot determine,Born in Mexico
117730,2.0,45.0,1.0,1.0,,2.0,1.0,2.0,0.7,12044.164556,11081.327423,2.0,152.0,Female,Mexican American,9-11th grade,Married / Living with partner,,Born in Mexico
117735,2.0,31.0,2.0,2.0,2.0,5.0,1.0,2.0,2.65,19276.533111,19052.282797,3.0,156.0,Female,Other Hispanic,College graduate or above,Married / Living with partner,Not pregnant,Born in Mexico
117738,2.0,25.0,3.0,3.0,2.0,4.0,1.0,1.0,1.63,39384.039014,37164.336827,2.0,158.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117752,2.0,33.0,3.0,3.0,2.0,5.0,1.0,1.0,4.85,74888.60496,72005.020663,1.0,151.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117777,2.0,41.0,2.0,2.0,2.0,2.0,2.0,2.0,1.18,22268.867017,20845.027583,3.0,156.0,Female,Other Hispanic,9-11th grade,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
117778,2.0,44.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,41618.908846,40350.499997,1.0,171.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117785,2.0,39.0,2.0,2.0,2.0,5.0,2.0,2.0,4.43,33899.929364,32990.944282,2.0,161.0,Female,Other Hispanic,College graduate or above,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
117787,2.0,39.0,6.0,5.0,3.0,5.0,1.0,2.0,,5.397605346934028e-79,22169.610422,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Cannot determine,Born in Mexico
117795,2.0,31.0,7.0,5.0,2.0,2.0,3.0,2.0,1.7,10824.335268,10448.757029,2.0,158.0,Female,Other/Multiracial,9-11th grade,Never married,Not pregnant,Born in Mexico
117811,2.0,35.0,2.0,2.0,2.0,1.0,1.0,2.0,2.57,18759.184191,17477.557906,1.0,168.0,Female,Other Hispanic,Less than 9th grade,Married / Living with partner,Not pregnant,Born in Mexico
117824,2.0,38.0,2.0,2.0,2.0,3.0,1.0,2.0,1.89,22234.958231,20563.486916,1.0,156.0,Female,Other Hispanic,High school / GED,Married / Living with partner,Not pregnant,Born in Mexico
117831,2.0,25.0,4.0,4.0,2.0,5.0,3.0,1.0,1.36,13241.962881,12392.743224,3.0,156.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
117832,2.0,41.0,3.0,3.0,2.0,2.0,1.0,1.0,3.58,51470.168281,42880.207236,1.0,151.0,Female,Non-Hispanic White,9-11th grade,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117840,2.0,35.0,1.0,1.0,2.0,2.0,1.0,2.0,,13742.290726,13107.519467,2.0,159.0,Female,Mexican American,9-11th grade,Married / Living with partner,Not pregnant,Born in Mexico
117850,2.0,40.0,2.0,2.0,2.0,1.0,1.0,2.0,1.65,25316.790207,22186.126291,3.0,156.0,Female,Other Hispanic,Less than 9th grade,Married / Living with partner,Not pregnant,Born in Mexico
117853,2.0,43.0,4.0,4.0,2.0,3.0,1.0,1.0,0.33,9640.24342,8388.307035,1.0,170.0,Female,Non-Hispanic Black,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117857,2.0,44.0,2.0,2.0,2.0,4.0,1.0,2.0,1.83,16978.446187,15622.819237,2.0,169.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117877,2.0,41.0,4.0,4.0,2.0,5.0,1.0,2.0,5.0,18856.550295,16585.737072,2.0,153.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in Mexico
