SEQN,umap_x,umap_y
110168.0,17.351612,12.792571
110169.0,15.835533,10.187913
110171.0,17.225758,8.124396
110172.0,16.722172,12.161464
110173.0,16.779232,8.917957
110174.0,16.10589,8.35146
110175.0,18.85129,8.810775
110176.0,13.472643,13.765879
110178.0,19.908388,11.426633
110182.0,4.779881,11.414168
110184.0,17.494112,13.272967
110186.0,18.907871,8.41
110187.0,15.288507,12.328771
110188.0,16.637074,13.453592
110190.0,15.690525,6.8750935
110193.0,18.869791,7.3737965
110198.0,19.128473,9.271643
110200.0,17.295704,13.721656
110201.0,14.132922,11.704045
110206.0,18.732435,9.640671
110207.0,18.040272,12.82677
110208.0,16.031862,10.897292
110211.0,16.84716,11.338254
110213.0,19.07991,8.08345
110214.0,17.193624,9.495125
110217.0,19.775263,11.558118
110218.0,16.89874,8.728225
110222.0,16.174688,7.0087786
110224.0,15.620291,10.096167
110226.0,15.847035,8.718052
110228.0,19.036127,10.368039
110231.0,19.63035,10.212485
110232.0,15.370059,12.291598
110234.0,15.92661,10.448994
110235.0,18.396132,11.053321
110236.0,17.705387,10.046591
110240.0,15.960054,10.768256
110241.0,16.35108,14.054875
110243.0,17.306099,9.390733
110247.0,18.505672,8.479554
110248.0,17.40465,9.079722
110250.0,15.1802,9.946589
110251.0,17.669788,14.154362
110254.0,17.55819,14.40525
110264.0,15.331865,14.152452
110265.0,17.788645,11.028203
110266.0,13.206078,11.011071
110270.0,15.345572,12.65374
110272.0,18.01843,12.310675
110276.0,18.274853,11.833955
110278.0,17.784298,12.364069
110286.0,19.275787,10.010973
110288.0,16.763214,13.878241
110289.0,15.625567,10.692144
110290.0,20.153738,11.542011
110291.0,19.648487,11.335687
110293.0,16.051104,7.401003
110296.0,20.155014,10.684913
110302.0,19.761127,9.385405
110304.0,13.413627,11.346808
110305.0,19.319338,7.2056003
110306.0,14.729635,10.806535
110307.0,16.576677,9.37657
110309.0,15.720099,7.044578
110314.0,15.870948,10.266359
110315.0,15.221658,7.2401576
110317.0,19.653791,11.540304
110318.0,17.722431,14.00756
110319.0,16.306002,9.861742
110321.0,19.041594,10.912889
110322.0,16.750044,11.485467
110323.0,4.423995,11.4415865
110326.0,17.007574,10.636107
110328.0,17.992376,13.50083
110332.0,15.299332,11.636728
110336.0,17.626394,13.917968
110341.0,15.802201,15.329685
110342.0,18.98593,9.27069
110347.0,13.198245,11.14977
110351.0,14.735611,13.718578
110352.0,13.986741,8.99055
110355.0,13.4684515,11.391301
110356.0,17.903114,12.237774
110359.0,15.89838,13.101706
110366.0,17.167292,14.281189
110367.0,16.189356,6.862987
110374.0,14.829915,10.880163
110376.0,17.804703,10.7064905
110378.0,14.245215,10.9475355
110379.0,16.055153,7.3647456
110380.0,16.168606,7.1342444
110381.0,15.207165,10.502813
110382.0,17.268509,10.151018
110385.0,17.390684,10.012944
110387.0,14.399795,12.435247
110390.0,19.53055,11.516994
110391.0,16.958178,9.811821
110394.0,17.742048,10.831357
110396.0,19.336565,10.898826
110397.0,17.783253,13.223515
110399.0,19.82304,9.562859
110400.0,18.741285,10.057614
110401.0,16.475145,11.134812
110402.0,19.226795,10.7770605
110405.0,16.512695,13.140817
110406.0,4.862732,10.732336
110408.0,19.680822,9.65779
110409.0,16.595228,14.135144
110410.0,16.886684,14.05293
110411.0,14.743021,10.68856
110414.0,19.28412,8.5536
110415.0,17.980211,12.674225
110417.0,15.791179,13.211701
110418.0,15.205985,13.139354
110419.0,13.478594,12.883307
110422.0,19.190973,10.433955
110425.0,17.449442,10.258316
110426.0,19.537603,11.269346
110427.0,18.876646,8.639531
110430.0,16.846935,11.611251
110431.0,20.189695,11.515115
110434.0,15.393286,12.007081
110436.0,18.69954,12.898565
110438.0,4.3310866,11.701029
110441.0,13.609203,13.688948
110442.0,14.232839,12.224506
110445.0,14.458736,10.001275
110446.0,17.013418,12.851863
110449.0,15.272775,12.096195
110450.0,17.839949,11.008117
110451.0,15.280022,12.009001
110454.0,17.684649,14.307388
110457.0,18.625721,8.53582
110460.0,19.252453,8.916938
110461.0,19.458652,11.039941
110464.0,18.655195,13.824439
110465.0,14.997471,14.110486
110467.0,15.886908,10.249836
110468.0,15.412132,12.631483
110472.0,4.5205884,10.487336
110473.0,17.90858,12.572227
110474.0,16.633465,12.980422
110476.0,13.013413,10.816873
110477.0,15.756658,7.9725184
110478.0,15.026053,7.37552
110490.0,12.747182,10.946733
110492.0,19.235874,9.90689
110493.0,15.827145,10.175629
110494.0,17.982058,12.770232
110495.0,14.637727,10.755092
110496.0,16.524023,12.874696
110497.0,15.485819,7.117632
110498.0,4.221766,11.584958
110499.0,17.603111,13.23609
110503.0,18.875307,9.044796
110506.0,14.907688,13.964679
110507.0,12.962013,10.790153
110508.0,17.719385,13.693331
